MaxIter  Threads  Tasks        Mean(ms)     StdDev(ms)
--------------------------------------------------------------
100      1        1            19,378       3,507
100      1        10           17,816       1,117
100      1        250000       44,154       14,344
100      10       10           8,958        0,540
100      10       100          7,174        0,928
100      10       250000       32,637       2,462
100      40       40           8,484        0,444
100      40       400          1,936        0,357
100      40       250000       30,803       3,363
200      1        1            31,789       0,114
200      1        10           31,667       1,358
200      1        250000       47,866       13,844
200      10       10           11,639       1,282
200      10       100          7,948        0,959
200      10       250000       29,530       2,701
200      40       40           9,478        0,995
200      40       400          2,245        0,411
200      40       250000       34,207       6,216
500      1        1            73,763       0,257
500      1        10           72,345       0,193
500      1        250000       44,134       12,500
500      10       10           24,640       2,488
500      10       100          11,875       0,937
500      10       250000       32,007       2,846
500      40       40           12,929       0,860
500      40       400          1,971        0,212
500      40       250000       31,680       3,077
1000     1        1            143,505      0,210
1000     1        10           140,897      0,149
1000     1        250000       40,591       10,332
1000     10       10           44,462       1,791
1000     10       100          17,149       0,872
1000     10       250000       31,322       4,268
1000     40       40           20,040       0,793
1000     40       400          1,996        0,310
1000     40       250000       32,211       2,877
2500     1        1            353,574      1,638
2500     1        10           347,391      3,830
2500     1        250000       37,973       11,155
2500     10       10           108,932      0,708
2500     10       100          39,392       6,292
2500     10       250000       29,697       2,160
2500     40       40           44,052       3,074
2500     40       400          1,748        0,367   <-- BEST
2500     40       250000       30,315       1,929
5000     1        1            701,310      1,668
5000     1        10           690,345      2,248
5000     1        250000       45,436       12,531
5000     10       10           216,801      1,374
5000     10       100          76,289       6,901
5000     10       250000       30,783       3,890
5000     40       40           92,339       5,934
5000     40       400          2,039        0,389
5000     40       250000       31,773       2,219
10000    1        1            1401,920     2,846
10000    1        10           1375,831     3,950
10000    1        250000       39,797       10,407
10000    10       10           433,578      2,573
10000    10       100          135,676      10,988
10000    10       250000       28,333       2,578
10000    40       40           176,612      15,435
10000    40       400          1,957        0,177
10000    40       250000       31,462       3,452
